date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:20:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2002:20:58%20GMT	https://bootstrapget.com/robots.txt		(from )
05:20:59	43913/43913	---M-Z	200	added ('OK')	text/html	etag:%223c03ac8-ab89-617fb7b1d1e80-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/index.html	(from )
05:20:59	1974/1974	---M--	200	added ('OK')	image/svg+xml	etag:%223c037b1-7b6-6056e77a35c00%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/images/favicon.svg	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/images/favicon.svg	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:00	82773/82773	---M-Z	200	added ('OK')	text/css	etag:%223c037a5-14355-5f4deba5b0e80-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/fonts/icomoon/style.css	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/fonts/icomoon/style.css	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:01	257737/257737	---M-Z	200	added ('OK')	text/css	etag:%223c0345a-3eec9-613d796227180-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/css/main.min.css	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/css/main.min.css	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:02	20002/20002	---M-Z	200	added ('OK')	text/css	etag:%223c03aa3-4e22-5f4ef8b7adf80-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:03	1430/1430	---M-Z	200	added ('OK')	text/css	etag:%223c03aad-596-6088182e34600-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/vendor/toastify/toastify.css	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/vendor/toastify/toastify.css	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:04	43913/43913	---M-Z	200	added ('OK')	text/html	etag:%223c03ac8-ab89-617fb7b1d1e80-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/index.html	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/index-2.html	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:05	3936/3936	---M--	200	added ('OK')	image/svg+xml	etag:%223c039d1-f60-601d33e95dd00%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/images/logo.svg	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/assets/images/logo.svg	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:06	47658/47658	---M-Z	200	added ('OK')	text/html	etag:%223c03ae0-ba2a-610aed3ead380-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/statistics.html	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/statistics.html	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
05:21:07	30674/30674	---M-Z	200	added ('OK')	text/html	etag:%223c03ab9-77d2-610aed4095800-gzip%22	https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/contacts.html	/home/maquiz/New_Templates/AdminPro/bootstrapget.com/demos/adminpro-bootstrap-admin-template/contacts.html	(from https://bootstrapget.com/demos/adminpro-bootstrap-admin-template/)
