date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2002:40:35%20GMT	https://bootstrapget.com/robots.txt		(from )
05:40:36	48582/48582	---M-Z	200	added ('OK')	text/html	etag:%223b40626-bdc6-619994685e955-gzip%22	https://bootstrapget.com/demos/admini-admin-template/	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/index.html	(from )
05:40:36	1974/1974	---M--	200	added ('OK')	image/svg+xml	etag:%223cc0559-7b6-610c401ada010%22	https://bootstrapget.com/demos/admini-admin-template/assets/images/favicon.svg	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/assets/images/favicon.svg	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:37	85823/85823	---M-Z	200	added ('OK')	text/css	etag:%223cc0597-14f3f-610c401ae24e1-gzip%22	https://bootstrapget.com/demos/admini-admin-template/assets/fonts/bootstrap/bootstrap-icons.css	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/assets/fonts/bootstrap/bootstrap-icons.css	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:38	265146/265146	---M-Z	200	added ('OK')	text/css	etag:%223b4026e-40bba-61999442f08ec-gzip%22	https://bootstrapget.com/demos/admini-admin-template/assets/css/main.min.css	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/assets/css/main.min.css	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:39	22015/22015	---M-Z	200	added ('OK')	text/css	etag:%223cc033b-55ff-610c401a8e131-gzip%22	https://bootstrapget.com/demos/admini-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:40	48582/48582	---M-Z	200	added ('OK')	text/html	etag:%223b40626-bdc6-619994685e955-gzip%22	https://bootstrapget.com/demos/admini-admin-template/index.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/index-2.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:41	3786/3786	---M--	200	added ('OK')	image/svg+xml	etag:%223cc0563-eca-610c401adb398%22	https://bootstrapget.com/demos/admini-admin-template/assets/images/logo.svg	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/assets/images/logo.svg	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:42	60430/60430	---M-Z	200	added ('OK')	text/html	etag:%223b404e7-ec0e-6199946800194-gzip%22	https://bootstrapget.com/demos/admini-admin-template/crm.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/crm.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:43	44900/44900	---M-Z	200	added ('OK')	text/html	etag:%223b404ea-af64-6199946806724-gzip%22	https://bootstrapget.com/demos/admini-admin-template/customers.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/customers.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:44	43122/43122	---M-Z	200	added ('OK')	text/html	etag:%223b404da-a872-61999467fbb43-gzip%22	https://bootstrapget.com/demos/admini-admin-template/contracts.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/contracts.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:45	41153/41153	---M-Z	200	added ('OK')	text/html	etag:%223b4066e-a0c1-61999468e5d72-gzip%22	https://bootstrapget.com/demos/admini-admin-template/projects.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/projects.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:46	36177/36177	---M-Z	200	added ('OK')	text/html	etag:%223b40506-8d51-6199946824b87-gzip%22	https://bootstrapget.com/demos/admini-admin-template/expenses.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/expenses.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:47	39085/39085	---M-Z	200	added ('OK')	text/html	etag:%223b40685-98ad-61999468f99dc-gzip%22	https://bootstrapget.com/demos/admini-admin-template/subscriptions.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/subscriptions.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:48	40871/40871	---M-Z	200	added ('OK')	text/html	etag:%223b40694-9fa7-619994691eba0-gzip%22	https://bootstrapget.com/demos/admini-admin-template/tasks.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/tasks.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:49	39006/39006	---M-Z	200	added ('OK')	text/html	etag:%223b40677-985e-619994690e9ce-gzip%22	https://bootstrapget.com/demos/admini-admin-template/support.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/support.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:50	50996/50996	---M-Z	200	added ('OK')	text/html	etag:%223b400a8-c734-6199946793b29-gzip%22	https://bootstrapget.com/demos/admini-admin-template/accordions.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/accordions.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:51	43898/43898	---M-Z	200	added ('OK')	text/html	etag:%223b40274-ab7a-61999467b5a24-gzip%22	https://bootstrapget.com/demos/admini-admin-template/alerts.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/alerts.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:52	48066/48066	---M-Z	200	added ('OK')	text/html	etag:%223b404a1-bbc2-61999467d1b5f-gzip%22	https://bootstrapget.com/demos/admini-admin-template/buttons.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/buttons.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:53	37656/37656	---M-Z	200	added ('OK')	text/html	etag:%223b40277-9318-61999467c292e-gzip%22	https://bootstrapget.com/demos/admini-admin-template/badges.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/badges.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:54	42709/42709	---M-Z	200	added ('OK')	text/html	etag:%223b40383-a6d5-61999467cd50f-gzip%22	https://bootstrapget.com/demos/admini-admin-template/cards.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/cards.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:55	50539/50539	---M-Z	200	added ('OK')	text/html	etag:%223b40272-c56b-61999467a834b-gzip%22	https://bootstrapget.com/demos/admini-admin-template/advanced-cards.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/advanced-cards.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:56	39800/39800	---M-Z	200	added ('OK')	text/html	etag:%223b404b1-9b78-61999467dcb28-gzip%22	https://bootstrapget.com/demos/admini-admin-template/carousel.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/carousel.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:57	36617/36617	---M-Z	200	added ('OK')	text/html	etag:%223b40505-8f09-61999468243b7-gzip%22	https://bootstrapget.com/demos/admini-admin-template/dropdowns.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/dropdowns.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:58	225195/225195	---M-Z	200	added ('OK')	text/html	etag:%223b40608-36fab-6199946865a9e-gzip%22	https://bootstrapget.com/demos/admini-admin-template/icons.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/icons.html	(from https://bootstrapget.com/demos/admini-admin-template/)
05:40:59	47088/47088	---M-Z	200	added ('OK')	text/html	etag:%223b4064f-b7f0-6199946889cc1-gzip%22	https://bootstrapget.com/demos/admini-admin-template/list-items.html	/home/maquiz/New_Templates/Admin_CRM/bootstrapget.com/demos/admini-admin-template/list-items.html	(from https://bootstrapget.com/demos/admini-admin-template/)
