date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:32	272737/272737	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:12%20GMT	https://smarthr.co.in/demo/html/template/	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/index.html	(from )
19:44:32	111/111	---M-Z	200	added ('OK')	text/plain	etag:%2282-62fbdb1b966dc-gzip%22	https://smarthr.co.in/robots.txt		(from )
19:44:34	22616/22616	---M--	200	added ('OK')	image/png	etag:%225858-62849007a4280%22	https://smarthr.co.in/demo/html/template/assets/img/favicon.png	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/img/favicon.png	(from https://smarthr.co.in/demo/html/template/)
19:44:34	36053/36053	---M--	200	added ('OK')	image/png	etag:%228cd5-62849006b0040%22	https://smarthr.co.in/demo/html/template/assets/img/apple-touch-icon.png	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/img/apple-touch-icon.png	(from https://smarthr.co.in/demo/html/template/)
19:44:34	59057/59057	---M-Z	200	added ('OK')	text/javascript	etag:%22e6b1-62849008984c0-gzip%22	https://smarthr.co.in/demo/html/template/assets/js/theme-script.js	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/js/theme-script.js	(from https://smarthr.co.in/demo/html/template/)
19:44:36	11751/11751	---M-Z	200	added ('OK')	text/css	etag:%222de7-6284900a80940-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/icons/feather/feather.css	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/plugins/icons/feather/feather.css	(from https://smarthr.co.in/demo/html/template/)
19:44:36	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-62849006b0040-gzip%22	https://smarthr.co.in/demo/html/template/assets/css/bootstrap.min.css	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/css/bootstrap.min.css	(from https://smarthr.co.in/demo/html/template/)
19:44:38	286439/286439	---M-Z	200	added ('OK')	text/css	etag:%2245ee7-6284900c68dc0-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/tabler-icons/tabler-icons.css	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/plugins/tabler-icons/tabler-icons.css	(from https://smarthr.co.in/demo/html/template/)
19:44:38	16264/16264	---M-Z	200	added ('OK')	text/css	etag:%223f88-6284900a80940-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/select2/css/select2.min.css	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/plugins/select2/css/select2.min.css	(from https://smarthr.co.in/demo/html/template/)
19:44:39	74325/74325	---M-Z	200	added ('OK')	text/css	etag:%2212255-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://smarthr.co.in/demo/html/template/)
19:44:40	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%2217906-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/all.min.css	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/all.min.css	(from https://smarthr.co.in/demo/html/template/)
19:44:41	7785/7785	---M-Z	200	added ('OK')	text/css	etag:%221e69-62849006b0040-gzip%22	https://smarthr.co.in/demo/html/template/assets/css/bootstrap-datetimepicker.min.css	/home/maquiz/New_Templates/smart_hr/smarthr.co.in/demo/html/template/assets/css/bootstrap-datetimepicker.min.css	(from https://smarthr.co.in/demo/html/template/)
