date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:40	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267e47efe-239b%22	https://themewagon.github.io/robots.txt		(from )
11:50:44	50076/50076	---M-Z	200	added ('OK')	text/html	etag:W/%2267593640-c39c%22	https://themewagon.github.io/MediLab/	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/index.html	(from )
11:50:44	1156/1156	---M--	200	added ('OK')	image/png	etag:%226759363f-484%22	https://themewagon.github.io/MediLab/assets/img/favicon.png	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/img/favicon.png	(from https://themewagon.github.io/MediLab/)
11:50:45	7489/7489	---M--	200	added ('OK')	image/png	etag:%2267593640-1d41%22	https://themewagon.github.io/MediLab/assets/img/apple-touch-icon.png	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/img/apple-touch-icon.png	(from https://themewagon.github.io/MediLab/)
11:50:47	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%226759363f-38d63%22	https://themewagon.github.io/MediLab/assets/vendor/bootstrap/css/bootstrap.min.css	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/MediLab/)
11:50:48	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%226759363f-17fcf%22	https://themewagon.github.io/MediLab/assets/vendor/bootstrap-icons/bootstrap-icons.css	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://themewagon.github.io/MediLab/)
11:50:48	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%2267593640-705d%22	https://themewagon.github.io/MediLab/assets/vendor/aos/aos.css	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/vendor/aos/aos.css	(from https://themewagon.github.io/MediLab/)
11:50:50	96518/96518	---M-Z	200	added ('OK')	text/css	etag:W/%2267593640-17906%22	https://themewagon.github.io/MediLab/assets/vendor/fontawesome-free/css/all.min.css	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/vendor/fontawesome-free/css/all.min.css	(from https://themewagon.github.io/MediLab/)
11:50:50	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%226759363f-35b5%22	https://themewagon.github.io/MediLab/assets/vendor/glightbox/css/glightbox.min.css	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/vendor/glightbox/css/glightbox.min.css	(from https://themewagon.github.io/MediLab/)
11:50:51	18432/18432	---M-Z	200	added ('OK')	text/css	etag:W/%226759363f-4800%22	https://themewagon.github.io/MediLab/assets/vendor/swiper/swiper-bundle.min.css	/home/maquiz/New_Templates/Medilab/themewagon.github.io/MediLab/assets/vendor/swiper/swiper-bundle.min.css	(from https://themewagon.github.io/MediLab/)
