date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:28:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2002:28:00%20GMT	https://bootstrapget.com/robots.txt		(from )
05:28:02	44249/44249	---M-Z	200	added ('OK')	text/html	etag:%223c43e5e-acd9-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/index.html	(from )
05:28:02	1974/1974	---M--	200	added ('OK')	image/svg+xml	etag:%223c43a8c-7b6-6056e77a35c00%22	https://bootstrapget.com/demos/venus-admin-template/assets/images/favicon.svg	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/assets/images/favicon.svg	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:03	85508/85508	---M-Z	200	added ('OK')	text/css	etag:%223c437a8-14e04-5eeda72365d80-gzip%22	https://bootstrapget.com/demos/venus-admin-template/assets/fonts/bootstrap/bootstrap-icons.css	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/assets/fonts/bootstrap/bootstrap-icons.css	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:04	252183/252183	---M-Z	200	added ('OK')	text/css	etag:%223c437a4-3d917-61d65dd104f80-gzip%22	https://bootstrapget.com/demos/venus-admin-template/assets/css/main.min.css	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/assets/css/main.min.css	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:05	22015/22015	---M-Z	200	added ('OK')	text/css	etag:%223c43e3b-55ff-5ef2f1c5e5980-gzip%22	https://bootstrapget.com/demos/venus-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:06	44249/44249	---M-Z	200	added ('OK')	text/html	etag:%223c43e5e-acd9-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/index.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/index-2.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:07	4298/4298	---M--	200	added ('OK')	image/svg+xml	etag:%223c43d64-10ca-6028acff5d180%22	https://bootstrapget.com/demos/venus-admin-template/assets/images/logo.svg	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/assets/images/logo.svg	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:08	39787/39787	---M-Z	200	added ('OK')	text/html	etag:%223c43e74-9b6b-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/settings.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/settings.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:09	41407/41407	---M-Z	200	added ('OK')	text/html	etag:%223c43e70-a1bf-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/profile.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/profile.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:10	29391/29391	---M-Z	200	added ('OK')	text/html	etag:%223c43e52-72cf-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/events.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/events.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:11	46708/46708	---M-Z	200	added ('OK')	text/html	etag:%223c40620-b674-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/analytics.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/analytics.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:12	62897/62897	---M-Z	200	added ('OK')	text/html	etag:%223c43e84-f5b1-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/widgets.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/widgets.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:13	22983/22983	---M-Z	200	added ('OK')	text/html	etag:%223c43e48-59c7-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/calendar.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/calendar.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:14	46015/46015	---M-Z	200	added ('OK')	text/html	etag:%223c4061b-b3bf-61d65de047380-gzip%22	https://bootstrapget.com/demos/venus-admin-template/accordions.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/accordions.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:15	38923/38923	---M-Z	200	added ('OK')	text/html	etag:%223c4061f-980b-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/alerts.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/alerts.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:16	42292/42292	---M-Z	200	added ('OK')	text/html	etag:%223c43e47-a534-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/buttons.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/buttons.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:17	30865/30865	---M-Z	200	added ('OK')	text/html	etag:%223c43e46-7891-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/badges.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/badges.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:18	32412/32412	---M-Z	200	added ('OK')	text/html	etag:%223c43e4b-7e9c-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/carousel.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/carousel.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:19	32055/32055	---M-Z	200	added ('OK')	text/html	etag:%223c43e62-7d37-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/list-items.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/list-items.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:20	32403/32403	---M-Z	200	added ('OK')	text/html	etag:%223c43e72-7e93-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/progress.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/progress.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:21	24274/24274	---M-Z	200	added ('OK')	text/html	etag:%223c43e6e-5ed2-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/popovers.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/popovers.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:22	25478/25478	---M-Z	200	added ('OK')	text/html	etag:%223c43e7e-6386-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/tooltips.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/tooltips.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:23	40392/40392	---M-Z	200	added ('OK')	text/html	etag:%223c43e59-9dc8-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/form-inputs.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/form-inputs.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:24	31788/31788	---M-Z	200	added ('OK')	text/html	etag:%223c43e55-7c2c-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/form-checkbox-radio.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/form-checkbox-radio.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:25	24725/24725	---M-Z	200	added ('OK')	text/html	etag:%223c43e56-6095-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/form-file-input.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/form-file-input.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:26	36273/36273	---M-Z	200	added ('OK')	text/html	etag:%223c43e5c-8db1-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/form-validations.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/form-validations.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:27	35031/35031	---M-Z	200	added ('OK')	text/html	etag:%223c43e51-88d7-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/date-time-pickers.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/date-time-pickers.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:28	35232/35232	---M-Z	200	added ('OK')	text/html	etag:%223c43e5b-89a0-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/form-layouts.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/form-layouts.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:29	37637/37637	---M-Z	200	added ('OK')	text/html	etag:%223c43e50-9305-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/create-invoice.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/create-invoice.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:30	28911/28911	---M-Z	200	added ('OK')	text/html	etag:%223c43e82-70ef-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/view-invoice.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/view-invoice.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:31	32094/32094	---M-Z	200	added ('OK')	text/html	etag:%223c43e61-7d5e-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/invoice-list.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/invoice-list.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:32	49459/49459	---M-Z	200	added ('OK')	text/html	etag:%223c43e7a-c133-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/tables.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/tables.html	(from https://bootstrapget.com/demos/venus-admin-template/)
05:28:33	28230/28230	---M-Z	200	added ('OK')	text/html	etag:%223c43e78-6e46-61d65dbc09e00-gzip%22	https://bootstrapget.com/demos/venus-admin-template/subscribers.html	/home/maquiz/New_Templates/Venus/bootstrapget.com/demos/venus-admin-template/subscribers.html	(from https://bootstrapget.com/demos/venus-admin-template/)
