date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:10	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267e47efe-239b%22	https://themewagon.github.io/robots.txt		(from )
13:39:11	55635/55635	---M-Z	200	added ('OK')	text/html	etag:W/%22676a75cd-d953%22	https://themewagon.github.io/MediCio/	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/index.html	(from )
13:39:11	1156/1156	---M--	200	added ('OK')	image/png	etag:%22676a75cd-484%22	https://themewagon.github.io/MediCio/assets/img/favicon.png	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/favicon.png	(from https://themewagon.github.io/MediCio/)
13:39:12	7489/7489	---M--	200	added ('OK')	image/png	etag:%22676a75cd-1d41%22	https://themewagon.github.io/MediCio/assets/img/apple-touch-icon.png	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/apple-touch-icon.png	(from https://themewagon.github.io/MediCio/)
13:39:14	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%22676a75cd-38d63%22	https://themewagon.github.io/MediCio/assets/vendor/bootstrap/css/bootstrap.min.css	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/MediCio/)
13:39:15	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%22676a75cd-17fcf%22	https://themewagon.github.io/MediCio/assets/vendor/bootstrap-icons/bootstrap-icons.css	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://themewagon.github.io/MediCio/)
13:39:15	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22676a75cd-705d%22	https://themewagon.github.io/MediCio/assets/vendor/aos/aos.css	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/vendor/aos/aos.css	(from https://themewagon.github.io/MediCio/)
13:39:17	96518/96518	---M-Z	200	added ('OK')	text/css	etag:W/%22676a75cd-17906%22	https://themewagon.github.io/MediCio/assets/vendor/fontawesome-free/css/all.min.css	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/vendor/fontawesome-free/css/all.min.css	(from https://themewagon.github.io/MediCio/)
13:39:17	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%22676a75cd-35b5%22	https://themewagon.github.io/MediCio/assets/vendor/glightbox/css/glightbox.min.css	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/vendor/glightbox/css/glightbox.min.css	(from https://themewagon.github.io/MediCio/)
13:39:18	18458/18458	---M-Z	200	added ('OK')	text/css	etag:W/%22676a75cd-481a%22	https://themewagon.github.io/MediCio/assets/vendor/swiper/swiper-bundle.min.css	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/vendor/swiper/swiper-bundle.min.css	(from https://themewagon.github.io/MediCio/)
13:39:19	42563/42563	---M-Z	200	added ('OK')	text/css	etag:W/%22676a75cd-a643%22	https://themewagon.github.io/MediCio/assets/css/main.css	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/css/main.css	(from https://themewagon.github.io/MediCio/)
13:39:20	55635/55635	---M-Z	200	added ('OK')	text/html	etag:W/%22676a75cd-d953%22	https://themewagon.github.io/MediCio/index.html	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/index-2.html	(from https://themewagon.github.io/MediCio/)
13:39:21	6762/6762	---M--	200	added ('OK')	image/png	etag:%22676a75cd-1a6a%22	https://themewagon.github.io/MediCio/assets/img/logo.png	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/logo.png	(from https://themewagon.github.io/MediCio/)
13:39:23	253128/253128	---M--	200	added ('OK')	image/jpeg	etag:%22676a75cd-3dcc8%22	https://themewagon.github.io/MediCio/assets/img/hero-carousel/hero-carousel-1.jpg	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/hero-carousel/hero-carousel-1.jpg	(from https://themewagon.github.io/MediCio/)
13:39:24	137686/137686	---M--	200	added ('OK')	image/jpeg	etag:%22676a75cd-219d6%22	https://themewagon.github.io/MediCio/assets/img/hero-carousel/hero-carousel-2.jpg	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/hero-carousel/hero-carousel-2.jpg	(from https://themewagon.github.io/MediCio/)
13:39:25	195419/195419	---M--	200	added ('OK')	image/jpeg	etag:%22676a75cd-2fb5b%22	https://themewagon.github.io/MediCio/assets/img/hero-carousel/hero-carousel-3.jpg	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/hero-carousel/hero-carousel-3.jpg	(from https://themewagon.github.io/MediCio/)
13:39:25	87275/87275	---M--	200	added ('OK')	image/jpeg	etag:%22676a75cd-154eb%22	https://themewagon.github.io/MediCio/assets/img/about.jpg	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/about.jpg	(from https://themewagon.github.io/MediCio/)
13:39:26	58416/58416	---M--	200	added ('OK')	image/jpeg	etag:%22676a75cd-e430%22	https://themewagon.github.io/MediCio/assets/img/features.jpg	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/features.jpg	(from https://themewagon.github.io/MediCio/)
13:39:27	64859/64859	---M--	200	added ('OK')	image/jpeg	etag:%22676a75cd-fd5b%22	https://themewagon.github.io/MediCio/assets/img/departments-1.jpg	/home/maquiz/New_Templates/medicio/themewagon.github.io/MediCio/assets/img/departments-1.jpg	(from https://themewagon.github.io/MediCio/)
