date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:08:18	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2001:08:17%20GMT	https://www.bootstrapget.com/robots.txt		(from )
04:08:18	68470/68470	---M-Z	200	added ('OK')	text/html	etag:%223b60eb8-10b76-624aea20e0080-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/index.html	(from )
04:08:18	1974/1974	---M--	200	added ('OK')	image/svg+xml	etag:%223b60bab-7b6-60563fd6dda00%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/images/favicon.svg	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/images/favicon.svg	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:19	141205/141205	---M-Z	200	added ('OK')	text/css	etag:%223b60b7b-22795-618a17b517080-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/fonts/remix/remixicon.css	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/fonts/remix/remixicon.css	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:20	272830/272830	---M-Z	200	added ('OK')	text/css	etag:%223b60b76-429be-6243622ec2840-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/css/main.min.css	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/css/main.min.css	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:21	22036/22036	---M-Z	200	added ('OK')	text/css	etag:%223b60e84-5614-617b1928369c0-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:22	8459/8459	---M-Z	200	added ('OK')	text/css	etag:%223b60e45-210b-623a92ca94580-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/daterange/daterange.css	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/daterange/daterange.css	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:23	7922/7922	---M-Z	200	added ('OK')	text/css	etag:%223b60e40-1ef2-5ccd336f8e400-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/datatables/dataTables.bs5.css	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/datatables/dataTables.bs5.css	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:24	882/882	---M-Z	200	added ('OK')	text/css	etag:%223b60e3f-372-6228faac57940-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/datatables/dataTables.bs5-custom.css	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/datatables/dataTables.bs5-custom.css	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:25	14311/14311	---M-Z	200	added ('OK')	text/css	etag:%223b60e37-37e7-6233f29796f80-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/datatables/buttons/dataTables.bs5-custom.css	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/vendor/datatables/buttons/dataTables.bs5-custom.css	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:26	68470/68470	---M-Z	200	added ('OK')	text/html	etag:%223b60eb8-10b76-624aea20e0080-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/index.html	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/index-2.html	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:27	2353/2353	---M--	200	added ('OK')	image/svg+xml	etag:%223b60dc5-931-6228ea10dcac0%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/images/logo.svg	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/images/logo.svg	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:28	48548/48548	---M--	200	added ('OK')	image/png	etag:%223b60b98-bda4-62327a77dcc40%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/assets/images/doctor6.png	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/assets/images/doctor6.png	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:29	75175/75175	---M-Z	200	added ('OK')	text/html	etag:%223b60e96-125a7-624aeb02e55c0-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/dashboard2.html	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/dashboard2.html	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:30	63557/63557	---M-Z	200	added ('OK')	text/html	etag:%223b60e97-f845-624aeb764a600-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/dashboard3.html	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/dashboard3.html	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
04:08:31	69768/69768	---M-Z	200	added ('OK')	text/html	etag:%223b60e9b-11088-624ae5ab53b40-gzip%22	https://www.bootstrapget.com/demos/apollo-medical-admin-template/doc-appointments.html	/home/maquiz/appollo/www.bootstrapget.com/demos/apollo-medical-admin-template/doc-appointments.html	(from https://www.bootstrapget.com/demos/apollo-medical-admin-template/)
