date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:36	55672/55672	---M-Z	200	added ('OK')	text/html	etag:%223c01b27-d978-618ae3511d080-gzip%22	https://bootstrapget.com/demos/medflex-medical-admin-template/	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/index.html	(from )
19:10:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2016:10:50%20GMT	https://bootstrapget.com/robots.txt		(from )
19:11:15	1974/1974	---M--	200	added ('OK')	image/svg+xml	etag:%223c012de-7b6-6056e77a35c00%22	https://bootstrapget.com/demos/medflex-medical-admin-template/assets/images/favicon.svg	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/assets/images/favicon.svg	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
19:11:20	141205/141205	---M-Z	200	added ('OK')	text/css	etag:%223c012c5-22795-618abf5a57700-gzip%22	https://bootstrapget.com/demos/medflex-medical-admin-template/assets/fonts/remix/remixicon.css	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/assets/fonts/remix/remixicon.css	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
19:11:31	269550/269550	---M-Z	200	added ('OK')	text/css	etag:%223b400b2-41cee-6306632b2b412-gzip%22	https://bootstrapget.com/demos/medflex-medical-admin-template/assets/css/main.min.css	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/assets/css/main.min.css	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
19:11:31	22036/22036	---M-Z	200	added ('OK')	text/css	etag:%223c01af6-5614-617bc0cc82e00-gzip%22	https://bootstrapget.com/demos/medflex-medical-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
19:11:32	55672/55672	---M-Z	200	added ('OK')	text/html	etag:%223c01b27-d978-618ae3511d080-gzip%22	https://bootstrapget.com/demos/medflex-medical-admin-template/index.html	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/index-2.html	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
19:11:33	5429/5429	---M--	200	added ('OK')	image/svg+xml	etag:%223c01a26-1535-618354c422300%22	https://bootstrapget.com/demos/medflex-medical-admin-template/assets/images/logo.svg	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/assets/images/logo.svg	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
19:11:34	1051/1051	---M--	200	added ('OK')	image/svg+xml	etag:%223c01a28-41b-618355b65de80%22	https://bootstrapget.com/demos/medflex-medical-admin-template/assets/images/logo-sm.svg	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/assets/images/logo-sm.svg	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
19:11:35	292/292	---M--	200	added ('OK')	image/svg+xml	etag:%223c0132e-124-58cd193022c80%22	https://bootstrapget.com/demos/medflex-medical-admin-template/assets/images/flags/1x1/fr.svg	/home/maquiz/New_Templates/medflex/bootstrapget.com/demos/medflex-medical-admin-template/assets/images/flags/1x1/fr.svg	(from https://bootstrapget.com/demos/medflex-medical-admin-template/)
