date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:50:28	25885/25885	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/dashboard.html	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/dashboard.html	(from )
04:50:29	580/580	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2001:50:28%20GMT	https://mentoring.dreamstechnologies.com/robots.txt		(from )
04:50:29	1096/1096	---M--	200	added ('OK')	image/png	etag:%228b9-62273c7447600%22	https://mentoring.dreamstechnologies.com/html/template/assets/img/favicon.png	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/img/favicon.png	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:31	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-629ac06a738c0-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:32	56777/56777	---M-Z	200	added ('OK')	text/css	etag:%22ddc9-629ac06a738c0-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:33	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%22120a2-629ac06a738c0-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:34	435500/435500	---MCZ	200	added ('OK')	text/css	etag:%226a52c-62273c7447600-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/css/style.css	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/css/style.css	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:35	3755/3755	---M--	200	added ('OK')	image/png	etag:%22eb5-62273c7447600%22	https://mentoring.dreamstechnologies.com/html/template/assets/img/logo.png	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/img/logo.png	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:35	61672/61672	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/index.html	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/index.html	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:36	7083/7083	---M--	200	added ('OK')	image/jpeg	etag:%22358b-62273c7447600%22	https://mentoring.dreamstechnologies.com/html/template/assets/img/home-1.jpg	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/img/home-1.jpg	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:38	88337/88337	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/index-2.html	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/index-2.html	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:38	8400/8400	---M--	200	added ('OK')	image/jpeg	etag:%223a53-62273c7447600%22	https://mentoring.dreamstechnologies.com/html/template/assets/img/home-2.jpg	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/img/home-2.jpg	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:40	138683/138683	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/index-3.html	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/index-3.html	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:40	7772/7772	---M--	200	added ('OK')	image/jpeg	etag:%2234ec-62273c7447600%22	https://mentoring.dreamstechnologies.com/html/template/assets/img/home-3.jpg	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/img/home-3.jpg	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:42	114999/114999	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/index-4.html	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/index-4.html	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:42	9675/9675	---M--	200	added ('OK')	image/jpeg	etag:%22461f-62273c7447600%22	https://mentoring.dreamstechnologies.com/html/template/assets/img/home-4.jpg	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/assets/img/home-4.jpg	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:44	111323/111323	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/index-5.html	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/index-5.html	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
04:50:47	126417/126417	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/index-6.html	/home/maquiz/mentoring/mentoring.dreamstechnologies.com/html/template/index-6.html	(from https://mentoring.dreamstechnologies.com/html/template/dashboard.html)
