date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:06:59	581/581	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Mar%202025%2002:06:59%20GMT	https://mentoring.dreamstechnologies.com/robots.txt		(from )
05:07:00	61672/61672	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2004:24:44%20GMT	https://mentoring.dreamstechnologies.com/html/template/	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/index.html	(from )
05:07:00	1096/1096	---M--	200	added ('OK')	image/png	etag:%228b9-62273c7447600%22	https://mentoring.dreamstechnologies.com/html/template/assets/img/favicon.png	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/img/favicon.png	(from https://mentoring.dreamstechnologies.com/html/template/)
05:07:02	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-629ac06a738c0-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	(from https://mentoring.dreamstechnologies.com/html/template/)
05:07:03	56777/56777	---M-Z	200	added ('OK')	text/css	etag:%22ddc9-629ac06a738c0-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://mentoring.dreamstechnologies.com/html/template/)
05:07:04	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%22120a2-629ac06a738c0-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	(from https://mentoring.dreamstechnologies.com/html/template/)
05:07:04	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-62273c7447600-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/css/owl.carousel.min.css	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/css/owl.carousel.min.css	(from https://mentoring.dreamstechnologies.com/html/template/)
05:07:05	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-62273c7447600-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/css/owl.theme.default.min.css	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/css/owl.theme.default.min.css	(from https://mentoring.dreamstechnologies.com/html/template/)
05:07:06	11751/11751	---M-Z	200	added ('OK')	text/css	etag:%222de7-62273c7447600-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/plugins/feather/feather.css	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/plugins/feather/feather.css	(from https://mentoring.dreamstechnologies.com/html/template/)
05:07:07	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-62273c7447600-gzip%22	https://mentoring.dreamstechnologies.com/html/template/assets/plugins/aos/aos.css	/home/maquiz/New_Templates/mentoring_full/mentoring.dreamstechnologies.com/html/template/assets/plugins/aos/aos.css	(from https://mentoring.dreamstechnologies.com/html/template/)
