date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:24	333133/333133	---M-Z	200	added ('OK')	text/html	etag:%225154d-6251f962cdb80-gzip%22	https://preview.pichforest.com/probic/layouts/	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/index.html	(from )
19:10:24	285/285	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Mar%202025%2016:10:22%20GMT	https://preview.pichforest.com/robots.txt		(from )
19:10:24	32038/32038	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227d26-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/favicon.ico	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/favicon.ico	(from https://preview.pichforest.com/probic/layouts/)
19:10:25	7756/7756	---M-Z	200	added ('OK')	text/css	etag:%221e4c-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/assets/libs/choices.js/public/assets/styles/choices.min.css	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://preview.pichforest.com/probic/layouts/)
19:10:26	16166/16166	---M-Z	200	added ('OK')	text/css	etag:%223f26-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/assets/libs/flatpickr/flatpickr.min.css	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/libs/flatpickr/flatpickr.min.css	(from https://preview.pichforest.com/probic/layouts/)
19:10:27	286/286	---M-Z	200	added ('OK')	text/css	etag:%2211e-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/assets/libs/dragula/dragula.min.css	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/libs/dragula/dragula.min.css	(from https://preview.pichforest.com/probic/layouts/)
19:10:29	309317/309317	---M-Z	200	added ('OK')	text/css	etag:%224b845-6251f961d9940-gzip%22	https://preview.pichforest.com/probic/layouts/assets/css/bootstrap.min.css	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/css/bootstrap.min.css	(from https://preview.pichforest.com/probic/layouts/)
19:10:35	370920/370920	---MCZ	200	added ('OK')	text/css	etag:%225a8e8-6251f961d9940-gzip%22	https://preview.pichforest.com/probic/layouts/assets/css/icons.min.css	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/css/icons.min.css	(from https://preview.pichforest.com/probic/layouts/)
19:10:37	86356/86356	---M-Z	200	added ('OK')	text/css	etag:%2215154-6251f960e5700-gzip%22	https://preview.pichforest.com/probic/layouts/assets/css/app.min.css	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/css/app.min.css	(from https://preview.pichforest.com/probic/layouts/)
19:10:38	333133/333133	---M-Z	200	added ('OK')	text/html	etag:%225154d-6251f962cdb80-gzip%22	https://preview.pichforest.com/probic/layouts/index.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/index-2.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:38	3814/3814	---M--	200	added ('OK')	image/png	etag:%22ee6-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/logo-light-sm.png	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/logo-light-sm.png	(from https://preview.pichforest.com/probic/layouts/)
19:10:39	2943/2943	---M--	200	added ('OK')	image/png	etag:%22b7f-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/logo-dark.png	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/logo-dark.png	(from https://preview.pichforest.com/probic/layouts/)
19:10:40	2767/2767	---M--	200	added ('OK')	image/png	etag:%22acf-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/logo-light.png	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/logo-light.png	(from https://preview.pichforest.com/probic/layouts/)
19:10:41	105221/105221	---M-Z	200	added ('OK')	text/html	etag:%2219b05-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-alerts.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-alerts.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:42	129554/129554	---M-Z	200	added ('OK')	text/html	etag:%221fa12-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-buttons.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-buttons.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:43	163573/163573	---M-Z	200	added ('OK')	text/html	etag:%2227ef5-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-cards.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-cards.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:44	159559/159559	---M-Z	200	added ('OK')	text/html	etag:%2226f47-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-dropdowns.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-dropdowns.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:45	164970/164970	---M-Z	200	added ('OK')	text/html	etag:%222846a-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-modals.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-modals.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:46	103507/103507	---M-Z	200	added ('OK')	text/html	etag:%2219453-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-progressbars.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-progressbars.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:47	238959/238959	---M-Z	200	added ('OK')	text/html	etag:%223a56f-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-tabs-accordions.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-tabs-accordions.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:48	111839/111839	---M-Z	200	added ('OK')	text/html	etag:%221b4df-6251f963c1dc0-gzip%22	https://preview.pichforest.com/probic/layouts/ui-typography.html	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/ui-typography.html	(from https://preview.pichforest.com/probic/layouts/)
19:10:51	88034/88034	---M--	200	added ('OK')	image/png	etag:%22157e2-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/illustrator/1.png	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/illustrator/1.png	(from https://preview.pichforest.com/probic/layouts/)
19:10:51	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/flags/us.jpg	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/flags/us.jpg	(from https://preview.pichforest.com/probic/layouts/)
19:10:52	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/flags/spain.jpg	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/flags/spain.jpg	(from https://preview.pichforest.com/probic/layouts/)
19:10:53	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/flags/germany.jpg	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/flags/germany.jpg	(from https://preview.pichforest.com/probic/layouts/)
19:10:54	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/flags/italy.jpg	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/flags/italy.jpg	(from https://preview.pichforest.com/probic/layouts/)
19:10:55	633/633	---M--	200	added ('OK')	image/jpeg	etag:%22279-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/flags/russia.jpg	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/flags/russia.jpg	(from https://preview.pichforest.com/probic/layouts/)
19:10:56	2170/2170	---M--	200	added ('OK')	image/png	etag:%2287a-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/brands/slack.png	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/brands/slack.png	(from https://preview.pichforest.com/probic/layouts/)
19:10:57	1755/1755	---M--	200	added ('OK')	image/png	etag:%226db-6251f963c1dc0%22	https://preview.pichforest.com/probic/layouts/assets/images/brands/behance.png	/home/maquiz/New_Templates/probic_project_managements/preview.pichforest.com/probic/layouts/assets/images/brands/behance.png	(from https://preview.pichforest.com/probic/layouts/)
