date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:15	273/273	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Mar%202025%2016:16:15%20GMT	https://techzaa.in/robots.txt		(from )
19:16:15	106204/106204	---M-Z	200	added ('OK')	text/html	etag:%2219edc-62cfb24459f78-gzip%22	https://techzaa.in/oreal/	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/index.html	(from )
19:16:15	6706/6706	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221a32-62cfb24378608%22	https://techzaa.in/oreal/assets/images/favicon.ico	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/images/favicon.ico	(from https://techzaa.in/oreal/)
19:16:16	138515/138515	---M-Z	200	added ('OK')	text/css	etag:%2221d13-62cfb2433ada4-gzip%22	https://techzaa.in/oreal/assets/css/vendor.min.css	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/css/vendor.min.css	(from https://techzaa.in/oreal/)
19:16:18	254996/254996	---M-Z	200	added ('OK')	text/css	etag:%223e414-62cfb2433ada4-gzip%22	https://techzaa.in/oreal/assets/css/icons.min.css	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/css/icons.min.css	(from https://techzaa.in/oreal/)
19:16:19	426063/426063	---M-Z	200	added ('OK')	text/css	etag:%226804f-62cfb2433ada4-gzip%22	https://techzaa.in/oreal/assets/css/app.min.css	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/css/app.min.css	(from https://techzaa.in/oreal/)
19:16:20	934/934	---M-Z	200	added ('OK')	text/javascript	etag:%223a6-62cfb243cd56e-gzip%22	https://techzaa.in/oreal/assets/js/config.min.js	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/js/config.min.js	(from https://techzaa.in/oreal/)
19:16:21	31928/31928	---M--	200	added ('OK')	image/jpeg	etag:%227cb8-62cfb243beb0d%22	https://techzaa.in/oreal/assets/images/users/avatar-1.jpg	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/images/users/avatar-1.jpg	(from https://techzaa.in/oreal/)
19:16:21	18485/18485	---M--	200	added ('OK')	image/jpeg	etag:%224835-62cfb243c0a4d%22	https://techzaa.in/oreal/assets/images/users/avatar-3.jpg	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/images/users/avatar-3.jpg	(from https://techzaa.in/oreal/)
19:16:22	21660/21660	---M--	200	added ('OK')	image/jpeg	etag:%22549c-62cfb243c0a4d%22	https://techzaa.in/oreal/assets/images/users/avatar-5.jpg	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/images/users/avatar-5.jpg	(from https://techzaa.in/oreal/)
19:16:23	71687/71687	---M-Z	200	added ('OK')	text/html	etag:%2211807-62cfb24460cd8-gzip%22	https://techzaa.in/oreal/pages-calendar.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/pages-calendar.html	(from https://techzaa.in/oreal/)
19:16:24	76098/76098	---M-Z	200	added ('OK')	text/html	etag:%2212942-62cfb24460cd8-gzip%22	https://techzaa.in/oreal/pages-pricing.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/pages-pricing.html	(from https://techzaa.in/oreal/)
19:16:25	81406/81406	---M-Z	200	added ('OK')	text/html	etag:%2213dfe-62cfb24460cd8-gzip%22	https://techzaa.in/oreal/pages-faqs.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/pages-faqs.html	(from https://techzaa.in/oreal/)
19:16:26	4152/4152	---M-Z	200	added ('OK')	text/html	etag:%221038-62cfb244512d7-gzip%22	https://techzaa.in/oreal/auth-lock-screen.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/auth-lock-screen.html	(from https://techzaa.in/oreal/)
19:16:27	5685/5685	---M-Z	200	added ('OK')	text/html	etag:%221635-62cfb244512d7-gzip%22	https://techzaa.in/oreal/auth-signin.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/auth-signin.html	(from https://techzaa.in/oreal/)
19:16:28	106204/106204	---M-Z	200	added ('OK')	text/html	etag:%2219edc-62cfb24459f78-gzip%22	https://techzaa.in/oreal/index.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/index-2.html	(from https://techzaa.in/oreal/)
19:16:29	6706/6706	---M--	200	added ('OK')	image/png	etag:%221a32-62cfb2437b4e9%22	https://techzaa.in/oreal/assets/images/logo-sm.png	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/images/logo-sm.png	(from https://techzaa.in/oreal/)
19:16:30	10812/10812	---M--	200	added ('OK')	image/png	etag:%222a3c-62cfb2437b4e9%22	https://techzaa.in/oreal/assets/images/logo-dark.png	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/images/logo-dark.png	(from https://techzaa.in/oreal/)
19:16:31	10002/10002	---M--	200	added ('OK')	image/png	etag:%222712-62cfb2437b4e9%22	https://techzaa.in/oreal/assets/images/logo-light.png	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/assets/images/logo-light.png	(from https://techzaa.in/oreal/)
19:16:32	106234/106234	---M-Z	200	added ('OK')	text/html	etag:%2219efa-62cfb24459f78-gzip%22	https://techzaa.in/oreal/layouts-dark-sidenav.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/layouts-dark-sidenav.html	(from https://techzaa.in/oreal/)
19:16:33	106257/106257	---M-Z	200	added ('OK')	text/html	etag:%2219f11-62cfb24459f78-gzip%22	https://techzaa.in/oreal/layouts-dark-topnav.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/layouts-dark-topnav.html	(from https://techzaa.in/oreal/)
19:16:34	106244/106244	---M-Z	200	added ('OK')	text/html	etag:%2219f04-62cfb2445beb8-gzip%22	https://techzaa.in/oreal/layouts-simple-sidenav.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/layouts-simple-sidenav.html	(from https://techzaa.in/oreal/)
19:16:35	106303/106303	---M-Z	200	added ('OK')	text/html	etag:%2219f3f-62cfb2445beb8-gzip%22	https://techzaa.in/oreal/layouts-small-sidenav.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/layouts-small-sidenav.html	(from https://techzaa.in/oreal/)
19:16:36	106281/106281	---M-Z	200	added ('OK')	text/html	etag:%2219f29-62cfb2445beb8-gzip%22	https://techzaa.in/oreal/layouts-small-hover.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/layouts-small-hover.html	(from https://techzaa.in/oreal/)
19:16:37	106314/106314	---M-Z	200	added ('OK')	text/html	etag:%2219f4a-62cfb2445beb8-gzip%22	https://techzaa.in/oreal/layouts-small-hover-active.html	/home/maquiz/New_Templates/real_estate/techzaa.in/oreal/layouts-small-hover-active.html	(from https://techzaa.in/oreal/)
